title,pubDate,link,description,imageLink,imageDescription
"One year after the Google walkout, key organizers reflect on the risk to their careers","Fri, 01 Nov 2019 20:42:24 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/7xztEBsGMGk/index.html,Claire Stapleton and Meredith Whittaker staked their careers when they organized the Google walkout in November 2018. It was a risk they felt they had to take.,http://feeds.feedburner.com/~r/rss/edition_world/~4/7xztEBsGMGk,
Russia rolls out its 'sovereign internet',"Fri, 01 Nov 2019 16:21:25 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/vztqGYJG8oY/index.html,"On Friday, a controversial new law took effect in Russia: The so-called ""sovereign internet"" law, which mandates the creation of an independent internet for Russia.",http://feeds.feedburner.com/~r/rss/edition_world/~4/vztqGYJG8oY,
"One year after the Google walkout, key organizers reflect on the risk to their careers","Fri, 01 Nov 2019 20:42:24 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/7xztEBsGMGk/index.html,Claire Stapleton and Meredith Whittaker staked their careers when they organized the Google walkout in November 2018. It was a risk they felt they had to take.,http://feeds.feedburner.com/~r/rss/edition_world/~4/7xztEBsGMGk,
Russia rolls out its 'sovereign internet',"Fri, 01 Nov 2019 16:21:25 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/vztqGYJG8oY/index.html,"On Friday, a controversial new law took effect in Russia: The so-called ""sovereign internet"" law, which mandates the creation of an independent internet for Russia.",http://feeds.feedburner.com/~r/rss/edition_world/~4/vztqGYJG8oY,
