title,pubDate,link,description,imageLink,imageDescription
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
Good Samaritans scramble under a subway to save a 5-year-old girl,"Tue, 24 Sep 2019 18:19:40 GMT",http://rss.cnn.com/~r/rss/edition_world/~3/ZqBz56XoI_M/index.html,A 45-year-old man holding his 5-year-old daughter was killed when witnesses say he jumped in front of a subway train in New York City on Monday.,http://feeds.feedburner.com/~r/rss/edition_world/~4/ZqBz56XoI_M,
